criterion,max_depth,min_samples_leaf,min_samples_split,score,splitter
mse,9,65,5,0.033445910868122875,best
mse,9,105,5,-0.14479758698044165,best
mse,9,5,10,0.03099255605036466,best
mse,9,10,10,0.05322301691134723,best
mse,9,15,10,0.039901238165630626,best
mse,9,25,10,0.05656300230695188,best
mse,9,40,10,0.023670691044464176,best
mse,9,65,10,0.033445910868122875,best
mse,9,105,10,-0.14479758698044165,best
mse,9,5,15,0.04748464836446675,best
mse,9,10,15,0.05322301691134723,best
mse,9,15,15,0.039901238165630626,best
mse,9,25,15,0.05656300230695188,best
mse,9,40,15,0.023670691044464176,best
mse,9,65,15,0.033445910868122875,best
mse,9,105,15,-0.14479758698044165,best
mse,9,5,25,0.04996412586928267,best
mse,9,10,25,0.053242096142567585,best
mse,9,15,25,0.039901238165630626,best
mse,9,25,25,0.05656300230695188,best
mse,9,40,25,0.023670691044464176,best
mse,9,65,25,0.033445910868122875,best
mse,9,105,25,-0.14479758698044165,best
mse,9,5,40,0.04291164360336708,best
mse,9,10,40,0.05623955113241774,best
mse,9,15,40,0.037390463212585434,best
mse,9,25,40,0.05656300230695188,best
mse,9,40,40,0.023670691044464176,best
mse,9,65,40,0.033445910868122875,best
mse,9,105,40,-0.14479758698044165,best
mse,9,5,65,0.05137164780812087,best
mse,9,10,65,0.050520213748762255,best
mse,9,15,65,0.03447054566288421,best
mse,9,25,65,0.055294336784736164,best
mse,9,40,65,0.023670691044464176,best
mse,9,65,65,0.033445910868122875,best
mse,9,105,65,-0.14479758698044165,best
mse,9,5,105,0.049488912031359966,best
mse,9,10,105,0.05554664118583541,best
mse,9,15,105,0.03674040435143022,best
mse,9,25,105,0.06447666465372504,best
mse,9,40,105,0.020935014052937073,best
mse,9,65,105,0.033445910868122875,best
mse,9,105,105,-0.14479758698044165,best
mse,9,5,5,0.031942171780469875,random
mse,9,10,5,0.05344754779234806,random
mse,9,15,5,0.039901238165631736,random
mse,9,25,5,0.05656300230695055,random
mse,9,40,5,0.023670691044463954,random
mse,9,65,5,0.0334459108681221,random
mse,9,105,5,-0.14479758698043965,random
mse,9,5,10,0.031942171780469875,random
mse,9,10,10,0.05344754779234806,random
mse,9,15,10,0.039901238165631736,random
mse,9,25,10,0.05656300230695055,random
mse,9,40,10,0.023670691044463954,random
mse,9,65,10,0.0334459108681221,random
mse,9,105,10,-0.14479758698043965,random
mse,9,5,15,0.04722466923838653,random
mse,9,10,15,0.05344754779234806,random
mse,9,15,15,0.039901238165631736,random
mse,9,25,15,0.05656300230695055,random
mse,9,40,15,0.023670691044463954,random
mse,9,65,15,0.0334459108681221,random
mse,9,105,15,-0.14479758698043965,random
mse,9,5,25,0.04878840639368687,random
mse,9,10,25,0.053102596429876914,random
mse,9,15,25,0.039901238165631736,random
mse,9,25,25,0.05656300230695055,random
mse,9,40,25,0.023670691044463954,random
mse,9,65,25,0.0334459108681221,random
mse,9,105,25,-0.14479758698043965,random
mse,9,5,40,0.04378644344179583,random
mse,9,10,40,0.05610366579698556,random
mse,9,15,40,0.03739046321258299,random
mse,9,25,40,0.05656300230695055,random
mse,9,40,40,0.023670691044463954,random
mse,9,65,40,0.0334459108681221,random
mse,9,105,40,-0.14479758698043965,random
mse,9,5,65,0.05137164780811243,random
mse,9,10,65,0.05052021374876081,random
mse,9,15,65,0.034470545662882546,random
mse,9,25,65,0.05529433678473494,random
mse,9,40,65,0.023670691044463954,random
mse,9,65,65,0.0334459108681221,random
mse,9,105,65,-0.14479758698043965,random
mse,9,5,105,0.04948891203135797,random
mse,9,10,105,0.05554664118582808,random
mse,9,15,105,0.03674040435142989,random
mse,9,25,105,0.06447666465372615,random
mse,9,40,105,0.020935014052939627,random
mse,9,65,105,0.0334459108681221,random
mse,9,105,105,-0.14479758698043965,random
mse,10,5,5,0.029802759291069236,best
mse,10,10,5,0.059045886139454606,best
mse,10,15,5,0.03368826914478573,best
mse,10,25,5,0.04390969762710084,best
mse,10,40,5,0.021706720067950158,best
mse,10,65,5,0.034448895716040484,best
mse,10,105,5,-0.14479758698044165,best
mse,10,5,10,0.029802759291069236,best
mse,10,10,10,0.059045886139454606,best
mse,10,15,10,0.03368826914478573,best
mse,10,25,10,0.04390969762710084,best
mse,10,40,10,0.021706720067950158,best
mse,10,65,10,0.034448895716040484,best
mse,10,105,10,-0.14479758698044165,best
mse,10,5,15,0.04605435212544562,best
mse,10,10,15,0.059045886139454606,best
mse,10,15,15,0.03368826914478573,best
mse,10,25,15,0.04390969762710084,best
mse,10,40,15,0.021706720067950158,best
mse,10,65,15,0.034448895716040484,best
mse,10,105,15,-0.14479758698044165,best
mse,10,5,25,0.04884702330455848,best
mse,10,10,25,0.05838237130490809,best
mse,10,15,25,0.03368826914478573,best
mse,10,25,25,0.04390969762710084,best
mse,10,40,25,0.021706720067950158,best
mse,10,65,25,0.034448895716040484,best
mse,10,105,25,-0.14479758698044165,best
mse,10,5,40,0.04035423652907255,best
mse,10,10,40,0.06122291097156085,best
mse,10,15,40,0.03285998819760161,best
mse,10,25,40,0.04390969762710084,best
mse,10,40,40,0.021706720067950158,best
mse,10,65,40,0.034448895716040484,best
mse,10,105,40,-0.14479758698044165,best
mse,10,5,65,0.05085969494764053,best
mse,10,10,65,0.05366447133287966,best
mse,10,15,65,0.027355127724902673,best
mse,10,25,65,0.042628743111943646,best
mse,10,40,65,0.021706720067950158,best
mse,10,65,65,0.034448895716040484,best
mse,10,105,65,-0.14479758698044165,best
mse,10,5,105,0.05272636519024976,best
mse,10,10,105,0.05867179062610117,best
mse,10,15,105,0.0296108958163388,best
mse,10,25,105,0.05873040733386059,best
mse,10,40,105,0.0189948861627367,best
mse,10,65,105,0.034448895716040484,best
mse,10,105,105,-0.14479758698044165,best
mse,10,5,5,0.028399076989285454,random
mse,10,10,5,0.05904588613945716,random
mse,10,15,5,0.033688269144787286,random
mse,10,25,5,0.0439096976271004,random
mse,10,40,5,0.021706720067949492,random
mse,10,65,5,0.03444889571603871,random
mse,10,105,5,-0.14479758698043965,random
mse,10,5,10,0.028399076989285454,random
mse,10,10,10,0.05904588613945716,random
mse,10,15,10,0.033688269144787286,random
mse,10,25,10,0.0439096976271004,random
mse,10,40,10,0.021706720067949492,random
mse,10,65,10,0.03444889571603871,random
mse,10,105,10,-0.14479758698043965,random
mse,10,5,15,0.04671101459081706,random
mse,10,10,15,0.05904588613945716,random
mse,10,15,15,0.033688269144787286,random
mse,10,25,15,0.0439096976271004,random
mse,10,40,15,0.021706720067949492,random
mse,10,65,15,0.03444889571603871,random
mse,10,105,15,-0.14479758698043965,random
mse,10,5,25,0.04884702330456192,random
mse,10,10,25,0.058242632280414375,random
mse,10,15,25,0.033688269144787286,random
mse,10,25,25,0.0439096976271004,random
mse,10,40,25,0.021706720067949492,random
mse,10,65,25,0.03444889571603871,random
mse,10,105,25,-0.14479758698043965,random
mse,10,5,40,0.03947807215801746,random
mse,10,10,40,0.06122291097155852,random
mse,10,15,40,0.032859988197603496,random
mse,10,25,40,0.0439096976271004,random
mse,10,40,40,0.021706720067949492,random
mse,10,65,40,0.03444889571603871,random
mse,10,105,40,-0.14479758698043965,random
mse,10,5,65,0.05085969494763809,random
mse,10,10,65,0.053664471332882324,random
mse,10,15,65,0.02735512772490578,random
mse,10,25,65,0.042628743111943646,random
mse,10,40,65,0.021706720067949492,random
mse,10,65,65,0.03444889571603871,random
mse,10,105,65,-0.14479758698043965,random
mse,10,5,105,0.05272636519024476,random
mse,10,10,105,0.05867179062609862,random
mse,10,15,105,0.029610895816339577,random
mse,10,25,105,0.058730407333857926,random
mse,10,40,105,0.018994886162734925,random
mse,10,65,105,0.03444889571603871,random
mse,10,105,105,-0.14479758698043965,random
mse,11,5,5,0.034191519300383666,best
mse,11,10,5,0.0513789216423981,best
mse,11,15,5,0.024097507115099615,best
mse,11,25,5,0.03876476551952501,best
mse,11,40,5,0.022725075437712516,best
mse,11,65,5,0.03403477202645033,best
mse,11,105,5,-0.14479758698044165,best
mse,11,5,10,0.034191519300383666,best
mse,11,10,10,0.0513789216423981,best
mse,11,15,10,0.024097507115099615,best
mse,11,25,10,0.03876476551952501,best
mse,11,40,10,0.022725075437712516,best
mse,11,65,10,0.03403477202645033,best
mse,11,105,10,-0.14479758698044165,best
mse,11,5,15,0.05177571384975754,best
mse,11,10,15,0.0513789216423981,best
mse,11,15,15,0.024097507115099615,best
mse,11,25,15,0.03876476551952501,best
mse,11,40,15,0.022725075437712516,best
mse,11,65,15,0.03403477202645033,best
mse,11,105,15,-0.14479758698044165,best
mse,11,5,25,0.058339293716224594,best
mse,11,10,25,0.05074662078322767,best
mse,11,15,25,0.024097507115099615,best
mse,11,25,25,0.03876476551952501,best
mse,11,40,25,0.022725075437712516,best
mse,11,65,25,0.03403477202645033,best
mse,11,105,25,-0.14479758698044165,best
mse,11,5,40,0.051446979463076525,best
mse,11,10,40,0.05452741641305936,best
mse,11,15,40,0.02262235001187185,best
mse,11,25,40,0.03876476551952501,best
mse,11,40,40,0.022725075437712516,best
mse,11,65,40,0.03403477202645033,best
mse,11,105,40,-0.14479758698044165,best
mse,11,5,65,0.06543061030951258,best
mse,11,10,65,0.045918571739223424,best
mse,11,15,65,0.0171036001948075,best
mse,11,25,65,0.039082673541999235,best
mse,11,40,65,0.022725075437712516,best
mse,11,65,65,0.03403477202645033,best
mse,11,105,65,-0.14479758698044165,best
mse,11,5,105,0.06346952883008294,best
mse,11,10,105,0.05559303821301709,best
mse,11,15,105,0.026612081666396614,best
mse,11,25,105,0.059269740835812046,best
mse,11,40,105,0.020034503470728326,best
mse,11,65,105,0.03403477202645033,best
mse,11,105,105,-0.14479758698044165,best
mse,11,5,5,0.03419151930037356,random
mse,11,10,5,0.0513789216424092,random
mse,11,15,5,0.024097507115100725,random
mse,11,25,5,0.038764765519525124,random
mse,11,40,5,0.022725075437712405,random
mse,11,65,5,0.034034772026448445,random
mse,11,105,5,-0.14479758698043965,random
mse,11,5,10,0.03419151930037356,random
mse,11,10,10,0.0513789216424092,random
mse,11,15,10,0.024097507115100725,random
mse,11,25,10,0.038764765519525124,random
mse,11,40,10,0.022725075437712405,random
mse,11,65,10,0.034034772026448445,random
mse,11,105,10,-0.14479758698043965,random
mse,11,5,15,0.054131652293373134,random
mse,11,10,15,0.0513789216424092,random
mse,11,15,15,0.024097507115100725,random
mse,11,25,15,0.038764765519525124,random
mse,11,40,15,0.022725075437712405,random
mse,11,65,15,0.034034772026448445,random
mse,11,105,15,-0.14479758698043965,random
mse,11,5,25,0.05745813036175762,random
mse,11,10,25,0.05074662078323089,random
mse,11,15,25,0.024097507115100725,random
mse,11,25,25,0.038764765519525124,random
mse,11,40,25,0.022725075437712405,random
mse,11,65,25,0.034034772026448445,random
mse,11,105,25,-0.14479758698043965,random
mse,11,5,40,0.05144697946307575,random
mse,11,10,40,0.054527416413061136,random
mse,11,15,40,0.0223467893932352,random
mse,11,25,40,0.038764765519525124,random
mse,11,40,40,0.022725075437712405,random
mse,11,65,40,0.034034772026448445,random
mse,11,105,40,-0.14479758698043965,random
mse,11,5,65,0.06543061030950581,random
mse,11,10,65,0.045918571739217096,random
mse,11,15,65,0.017103600194808832,random
mse,11,25,65,0.03908267354199946,random
mse,11,40,65,0.022725075437712405,random
mse,11,65,65,0.034034772026448445,random
mse,11,105,65,-0.14479758698043965,random
mse,11,5,105,0.0634695288300805,random
mse,11,10,105,0.055593038213014645,random
mse,11,15,105,0.026612081666394616,random
mse,11,25,105,0.05926974083581282,random
mse,11,40,105,0.020034503470725107,random
mse,11,65,105,0.034034772026448445,random
mse,11,105,105,-0.14479758698043965,random
mse,12,5,5,0.029694142963483938,best
mse,12,10,5,0.05658487279551694,best
mse,12,15,5,0.02874408032483111,best
mse,12,25,5,0.029347864132094226,best
mse,12,40,5,0.028542311298583867,best
mse,12,65,5,0.03503075888527718,best
mse,12,105,5,-0.14479758698044165,best
mse,12,5,10,0.029694142963483938,best
mse,12,10,10,0.05658487279551694,best
mse,12,15,10,0.02874408032483111,best
mse,12,25,10,0.029347864132094226,best
mse,12,40,10,0.028542311298583867,best
mse,12,65,10,0.03503075888527718,best
mse,12,105,10,-0.14479758698044165,best
mse,12,5,15,0.04566553964017428,best
mse,12,10,15,0.05658487279551694,best
mse,12,15,15,0.02874408032483111,best
mse,12,25,15,0.029347864132094226,best
mse,12,40,15,0.028542311298583867,best
mse,12,65,15,0.03503075888527718,best
mse,12,105,15,-0.14479758698044165,best
mse,12,5,25,0.05477442860317028,best
mse,12,10,25,0.05598244153618903,best
mse,12,15,25,0.02874408032483111,best
mse,12,25,25,0.029347864132094226,best
mse,12,40,25,0.028542311298583867,best
mse,12,65,25,0.03503075888527718,best
mse,12,105,25,-0.14479758698044165,best
mse,12,5,40,0.04869520511851211,best
mse,12,10,40,0.05919535833535694,best
mse,12,15,40,0.027424618663506206,best
mse,12,25,40,0.029347864132094226,best
mse,12,40,40,0.028542311298583867,best
mse,12,65,40,0.03503075888527718,best
mse,12,105,40,-0.14479758698044165,best
mse,12,5,65,0.06303562422892073,best
mse,12,10,65,0.04603251037008593,best
mse,12,15,65,0.019345368370476845,best
mse,12,25,65,0.029638883875711564,best
mse,12,40,65,0.028542311298583867,best
mse,12,65,65,0.03503075888527718,best
mse,12,105,65,-0.14479758698044165,best
mse,12,5,105,0.05968042903807824,best
mse,12,10,105,0.05602806299029761,best
mse,12,15,105,0.02911659057760052,best
mse,12,25,105,0.04987729243152561,best
mse,12,40,105,0.026118145491949463,best
mse,12,65,105,0.03503075888527718,best
mse,12,105,105,-0.14479758698044165,best
mse,12,5,5,0.030748527868847297,random
mse,12,10,5,0.05658487279551061,random
mse,12,15,5,0.028744080324830446,random
mse,12,25,5,0.029347864132093338,random
mse,12,40,5,0.028542311298582868,random
mse,12,65,5,0.03503075888527463,random
mse,12,105,5,-0.14479758698043965,random
mse,12,5,10,0.030748527868847297,random
mse,12,10,10,0.05658487279551061,random
mse,12,15,10,0.028744080324830446,random
mse,12,25,10,0.029347864132093338,random
mse,12,40,10,0.028542311298582868,random
mse,12,65,10,0.03503075888527463,random
mse,12,105,10,-0.14479758698043965,random
mse,12,5,15,0.04566553964017961,random
mse,12,10,15,0.05658487279551061,random
mse,12,15,15,0.028744080324830446,random
mse,12,25,15,0.029347864132093338,random
mse,12,40,15,0.028542311298582868,random
mse,12,65,15,0.03503075888527463,random
mse,12,105,15,-0.14479758698043965,random
mse,12,5,25,0.05414262805221037,random
mse,12,10,25,0.05584356084378017,random
mse,12,15,25,0.028744080324830446,random
mse,12,25,25,0.029347864132093338,random
mse,12,40,25,0.028542311298582868,random
mse,12,65,25,0.03503075888527463,random
mse,12,105,25,-0.14479758698043965,random
mse,12,5,40,0.048695205118518214,random
mse,12,10,40,0.059331056897547696,random
mse,12,15,40,0.027696622560210993,random
mse,12,25,40,0.029347864132093338,random
mse,12,40,40,0.028542311298582868,random
mse,12,65,40,0.03503075888527463,random
mse,12,105,40,-0.14479758698043965,random
mse,12,5,65,0.06303562422891662,random
mse,12,10,65,0.046032510370085045,random
mse,12,15,65,0.01906798605355109,random
mse,12,25,65,0.029638883875710897,random
mse,12,40,65,0.028542311298582868,random
mse,12,65,65,0.03503075888527463,random
mse,12,105,65,-0.14479758698043965,random
mse,12,5,105,0.05968042903807724,random
mse,12,10,105,0.056028062990294614,random
mse,12,15,105,0.0291165905775983,random
mse,12,25,105,0.04987729243152428,random
mse,12,40,105,0.02611814549195013,random
mse,12,65,105,0.03503075888527463,random
mse,12,105,105,-0.14479758698043965,random
mse,13,5,5,0.04304237173633907,best
mse,13,10,5,0.06842935195139621,best
mse,13,15,5,0.024815677163193994,best
mse,13,25,5,0.03484028209012813,best
mse,13,40,5,0.028029315941983657,best
mse,13,65,5,0.03503075888527718,best
mse,13,105,5,-0.14479758698044165,best
mse,13,5,10,0.04304237173633907,best
mse,13,10,10,0.06842935195139621,best
mse,13,15,10,0.024815677163193994,best
mse,13,25,10,0.03484028209012813,best
mse,13,40,10,0.028029315941983657,best
mse,13,65,10,0.03503075888527718,best
mse,13,105,10,-0.14479758698044165,best
mse,13,5,15,0.059723486613119325,best
mse,13,10,15,0.06842935195139621,best
mse,13,15,15,0.024815677163193994,best
mse,13,25,15,0.03484028209012813,best
mse,13,40,15,0.028029315941983657,best
mse,13,65,15,0.03503075888527718,best
mse,13,105,15,-0.14479758698044165,best
mse,13,5,25,0.06651703904537021,best
mse,13,10,25,0.06805852878576968,best
mse,13,15,25,0.024815677163193994,best
mse,13,25,25,0.03484028209012813,best
mse,13,40,25,0.028029315941983657,best
mse,13,65,25,0.03503075888527718,best
mse,13,105,25,-0.14479758698044165,best
mse,13,5,40,0.0659162694161246,best
mse,13,10,40,0.06567166644741718,best
mse,13,15,40,0.0242269172555023,best
mse,13,25,40,0.03484028209012813,best
mse,13,40,40,0.028029315941983657,best
mse,13,65,40,0.03503075888527718,best
mse,13,105,40,-0.14479758698044165,best
mse,13,5,65,0.07265308010152849,best
mse,13,10,65,0.054221055464548806,best
mse,13,15,65,0.017403378261127922,best
mse,13,25,65,0.03562626072058461,best
mse,13,40,65,0.028029315941983657,best
mse,13,65,65,0.03503075888527718,best
mse,13,105,65,-0.14479758698044165,best
mse,13,5,105,0.07014597134967304,best
mse,13,10,105,0.06441884212718763,best
mse,13,15,105,0.028101423005508774,best
mse,13,25,105,0.05657257285000672,best
mse,13,40,105,0.02560637228445306,best
mse,13,65,105,0.03503075888527718,best
mse,13,105,105,-0.14479758698044165,best
mse,13,5,5,0.04406360096224993,random
mse,13,10,5,0.06842935195139954,random
mse,13,15,5,0.024313723621291472,random
mse,13,25,5,0.034840282090127905,random
mse,13,40,5,0.02802931594198388,random
mse,13,65,5,0.03503075888527463,random
mse,13,105,5,-0.14479758698043965,random
mse,13,5,10,0.04406360096224993,random
mse,13,10,10,0.06842935195139954,random
mse,13,15,10,0.024313723621291472,random
mse,13,25,10,0.034840282090127905,random
mse,13,40,10,0.02802931594198388,random
mse,13,65,10,0.03503075888527463,random
mse,13,105,10,-0.14479758698043965,random
mse,13,5,15,0.05972348661311455,random
mse,13,10,15,0.06842935195139954,random
mse,13,15,15,0.024313723621291472,random
mse,13,25,15,0.034840282090127905,random
mse,13,40,15,0.02802931594198388,random
mse,13,65,15,0.03503075888527463,random
mse,13,105,15,-0.14479758698043965,random
mse,13,5,25,0.06875725335542782,random
mse,13,10,25,0.06805852878576912,random
mse,13,15,25,0.024313723621291472,random
mse,13,25,25,0.034840282090127905,random
mse,13,40,25,0.02802931594198388,random
mse,13,65,25,0.03503075888527463,random
mse,13,105,25,-0.14479758698043965,random
mse,13,5,40,0.0636777796931659,random
mse,13,10,40,0.06580465769903554,random
mse,13,15,40,0.0242269172555023,random
mse,13,25,40,0.034840282090127905,random
mse,13,40,40,0.02802931594198388,random
mse,13,65,40,0.03503075888527463,random
mse,13,105,40,-0.14479758698043965,random
mse,13,5,65,0.07265308010152549,random
mse,13,10,65,0.054221055464550916,random
mse,13,15,65,0.017126577552756483,random
mse,13,25,65,0.0356262607205855,random
mse,13,40,65,0.02802931594198388,random
mse,13,65,65,0.03503075888527463,random
mse,13,105,65,-0.14479758698043965,random
mse,13,5,105,0.07014597134966527,random
mse,13,10,105,0.06441884212718763,random
mse,13,15,105,0.028101423005506665,random
mse,13,25,105,0.05657257285000661,random
mse,13,40,105,0.025606372284452505,random
mse,13,65,105,0.03503075888527463,random
mse,13,105,105,-0.14479758698043965,random
